18-08-08 14:48:23 --- one package
18-08-08 14:48:36 ---  -561 -2057  9866
18-08-08 14:48:36 ---  -603 -2233  9836
18-08-08 14:48:36 ---  -628 -2416  9806
18-08-08 14:48:36 ---  -630 -2576  9762
18-08-08 14:48:36 ---  -604 -2655  9744
18-08-08 14:48:36 ---  -551 -2691  9735
18-08-08 14:48:36 ---  -507 -2675  9732
18-08-08 14:48:36 ---  -476 -2686  9737
18-08-08 14:48:36 ---  -483 -2771  9711
18-08-08 14:48:36 ---  -510 -2935  9656
18-08-08 14:48:36 ---  -556 -3161  9561
18-08-08 14:48:36 ---  -601 -3422  9439
18-08-08 14:48:36 ---  -664 -3692  9302
18-08-08 14:48:36 ---  -719 -3954  9172
18-08-08 14:48:36 ---  -775 -4200  9052
18-08-08 14:48:36 ---  -834 -4425  8949
18-08-08 14:48:36 ---  -873 -4627  8838
18-08-08 14:48:36 ---  -922 -4798  8732
18-08-08 14:48:36 ---  -968 -4935  8605
18-08-08 14:48:36 --- -1021 -5035  8521
18-08-08 14:48:36 --- -1090 -5095  8412
18-08-08 14:48:36 --- -1174 -5125  8288
18-08-08 14:48:36 --- -1294 -5129  8160
18-08-08 14:48:36 --- -1418 -5113  8002
18-08-08 14:48:36 --- -1578 -5080  7890
18-08-08 14:48:36 --- -1747 -5036  7800
18-08-08 14:48:36 --- -1925 -4952  7789
18-08-08 14:48:36 --- -2113 -4846  7782
18-08-08 14:48:36 --- -2311 -4692  7785
18-08-08 14:48:36 --- -2502 -4506  7755
18-08-08 14:48:36 --- -2719 -4306  7710
18-08-08 14:48:36 --- -2911 -4097  7628
18-08-08 14:48:36 --- -3105 -3899  7521
18-08-08 14:48:36 --- -3273 -3713  7327
18-08-08 14:48:36 --- -3424 -3555  7186
18-08-08 14:48:36 --- -3544 -3429  6946
18-08-08 14:48:36 --- one package
18-08-08 14:48:36 ---  -601 -7159  4273
18-08-08 14:48:36 ---  -631 -7094  4170
18-08-08 14:48:36 ---  -547 -7064  4221
18-08-08 14:48:36 ---  -436 -7061  4221
18-08-08 14:48:36 ---  -359 -7034  4191
18-08-08 14:48:36 ---  -304 -7046  4177
18-08-08 14:48:36 ---  -250 -7058  4182
18-08-08 14:48:36 ---  -187 -7032  4170
18-08-08 14:48:37 ---  -120 -7017  4143
18-08-08 14:48:37 ---   -62 -7022  4158
18-08-08 14:48:37 ---   -46 -7019  4142
18-08-08 14:48:37 ---   -26 -7016  4107
18-08-08 14:48:37 ---    19 -7035  4120
18-08-08 14:48:37 ---    64 -7041  4098
18-08-08 14:48:37 ---   115 -7042  4076
18-08-08 14:48:37 ---   146 -7044  4073
18-08-08 14:48:37 ---   161 -7049  4060
18-08-08 14:48:37 ---   159 -7047  4049
18-08-08 14:48:37 ---   155 -7066  4045
18-08-08 14:48:37 ---   147 -7091  4035
18-08-08 14:48:37 ---   127 -7104  4018
18-08-08 14:48:37 ---   105 -7115  3999
18-08-08 14:48:37 ---    83 -7121  4001
18-08-08 14:48:37 ---    58 -7117  3985
18-08-08 14:48:37 ---    37 -7125  3995
18-08-08 14:48:37 ---    12 -7119  3997
18-08-08 14:48:37 ---   -11 -7109  4012
18-08-08 14:48:37 ---   -52 -7092  4058
18-08-08 14:48:37 ---   -87 -7069  4073
18-08-08 14:48:37 ---  -132 -7043  4089
18-08-08 14:48:37 ---  -169 -7014  4102
18-08-08 14:48:37 ---  -205 -6987  4105
18-08-08 14:48:37 ---  -228 -6963  4117
18-08-08 14:48:37 ---  -252 -6946  4126
18-08-08 14:48:37 ---  -274 -6944  4142
18-08-08 14:48:37 ---  -306 -6935  4145
18-08-08 14:48:37 ---  -335 -6914  4162
18-08-08 14:48:37 ---  -368 -6897  4175
18-08-08 14:48:37 ---  -382 -6871  4191
18-08-08 14:48:37 ---  -363 -6861  4206
18-08-08 14:48:37 ---  -349 -6854  4203
18-08-08 14:48:37 ---  -344 -6851  4205
18-08-08 14:48:37 ---  -352 -6848  4192
18-08-08 14:48:37 ---  -361 -6840  4191
18-08-08 14:48:37 ---  -361 -6831  4197
18-08-08 14:48:37 ---  -363 -6832  4189
18-08-08 14:48:37 ---  -364 -6829  4191
18-08-08 14:48:37 ---  -361 -6836  4177
18-08-08 14:48:37 ---  -363 -6844  4184
18-08-08 14:48:37 ---  -358 -6865  4177
18-08-08 14:48:37 ---  -344 -6880  4171
18-08-08 14:48:37 ---  -332 -6900  4160
18-08-08 14:48:37 ---  -328 -6911  4132
18-08-08 14:48:37 ---  -331 -6904  4119
18-08-08 14:48:37 ---  -348 -6895  4120
18-08-08 14:48:37 ---  -363 -6881  4142
18-08-08 14:48:37 ---  -380 -6859  4175
18-08-08 14:48:37 ---  -385 -6839  4206
18-08-08 14:48:37 ---  -392 -6816  4235
18-08-08 14:48:37 ---  -399 -6794  4249
18-08-08 14:48:37 ---  -399 -6775  4250
18-08-08 14:48:37 ---  -408 -6767  4265
18-08-08 14:48:37 ---  -410 -6765  4271
18-08-08 14:48:37 ---  -411 -6770  4295
18-08-08 14:48:37 ---  -406 -6783  4323
18-08-08 14:48:37 ---  -409 -6786  4348
18-08-08 14:48:37 ---  -408 -6783  4378
18-08-08 14:48:37 ---  -412 -6766  4403
18-08-08 14:48:37 ---  -416 -6743  4426
18-08-08 14:48:37 ---  -406 -6724  4451
18-08-08 14:48:37 ---  -407 -6710  4459
18-08-08 14:48:37 ---  -404 -6706  4471
18-08-08 14:48:37 ---  -414 -6710  4465
18-08-08 14:48:37 ---  -434 -6717  4454
18-08-08 14:48:37 ---  -456 -6736  4450
18-08-08 14:48:37 ---  -471 -6743  4456
18-08-08 14:48:37 ---  -489 -6744  4466
18-08-08 14:48:37 ---  -493 -6734  4482
18-08-08 14:48:37 ---  -498 -6708  4498
18-08-08 14:48:37 ---  -487 -6688  4503
18-08-08 14:48:37 ---  -473 -6660  4523
18-08-08 14:48:37 ---  -463 -6627  4532
18-08-08 14:48:37 ---  -472 -6587  4551
18-08-08 14:48:37 ---  -500 -6547  4564
18-08-08 14:48:37 ---  -539 -6521  4586
18-08-08 14:48:37 ---  -573 -6508  4611
18-08-08 14:48:37 ---  -589 -6508  4621
18-08-08 14:48:37 ---  -600 -6515  4648
18-08-08 14:48:37 ---  -591 -6523  4654
18-08-08 14:48:37 ---  -583 -6528  4657
18-08-08 14:48:37 ---  -566 -6529  4656
18-08-08 14:48:37 ---  -551 -6529  4661
18-08-08 14:48:37 ---  -537 -6513  4652
18-08-08 14:48:37 ---  -529 -6509  4666
18-08-08 14:48:37 ---  -534 -6502  4674
18-08-08 14:48:37 ---  -530 -6489  4668
18-08-08 14:48:37 ---  -533 -6474  4672
18-08-08 14:48:37 ---  -535 -6448  4692
18-08-08 14:48:37 ---  -534 -6413  4721
18-08-08 14:48:37 ---  -521 -6383  4760
18-08-08 14:48:37 ---  -500 -6355  4790
18-08-08 14:48:37 ---  -467 -6344  4807
18-08-08 14:48:37 ---  -437 -6331  4803
18-08-08 14:48:37 ---  -430 -6333  4806
18-08-08 14:48:37 ---  -443 -6338  4803
18-08-08 14:48:37 ---  -470 -6335  4800
18-08-08 14:48:37 ---  -494 -6328  4793
18-08-08 14:48:37 ---  -514 -6315  4791
18-08-08 14:48:37 ---  -532 -6297  4800
18-08-08 14:48:37 ---  -544 -6284  4800
18-08-08 14:48:37 ---  -558 -6289  4822
18-08-08 14:48:37 ---  -564 -6299  4824
18-08-08 14:48:37 ---  -570 -6317  4847
18-08-08 14:48:37 ---  -571 -6334  4856
18-08-08 14:48:37 ---  -578 -6341  4875
18-08-08 14:48:37 ---  -586 -6333  4878
18-08-08 14:48:37 ---  -593 -6318  4891
18-08-08 14:48:37 ---  -596 -6297  4897
18-08-08 14:48:37 ---  -604 -6277  4903
18-08-08 14:48:37 ---  -603 -6255  4905
18-08-08 14:48:37 ---  -614 -6234  4906
18-08-08 14:48:37 ---  -613 -6216  4907
18-08-08 14:48:37 ---  -625 -6196  4913
18-08-08 14:48:37 ---  -632 -6183  4927
18-08-08 14:48:37 ---  -660 -6171  4950
18-08-08 14:48:37 ---  -691 -6164  4977
18-08-08 14:48:37 ---  -727 -6157  5031
18-08-08 14:48:37 ---  -748 -6155  5042
18-08-08 14:48:37 ---  -771 -6145  5036
18-08-08 14:48:37 ---  -769 -6136  5029
18-08-08 14:48:37 ---  -781 -6119  5027
18-08-08 14:48:37 ---  -786 -6106  5028
18-08-08 14:48:37 ---  -793 -6080  5047
18-08-08 14:48:37 ---  -798 -6076  5068
18-08-08 14:48:37 ---  -798 -6083  5087
18-08-08 14:48:37 ---  -788 -6090  5092
18-08-08 14:48:37 ---  -784 -6103  5091
18-08-08 14:48:37 ---  -781 -6108  5081
18-08-08 14:48:37 ---  -800 -6117  5073
18-08-08 14:48:37 ---  -810 -6114  5082
18-08-08 14:48:37 ---  -816 -6115  5102
18-08-08 14:48:37 ---  -808 -6099  5130
18-08-08 14:48:37 ---  -800 -6075  5166
18-08-08 14:48:37 ---  -783 -6041  5207
18-08-08 14:48:37 ---  -768 -6001  5250
18-08-08 14:48:37 ---  -751 -5963  5285
18-08-08 14:48:37 ---  -731 -5924  5324
18-08-08 14:48:37 ---  -709 -5891  5347
18-08-08 14:48:37 ---  -687 -5856  5378
18-08-08 14:48:37 ---  -672 -5825  5404
18-08-08 14:48:37 ---  -661 -5792  5436
18-08-08 14:48:37 ---  -663 -5762  5458
18-08-08 14:48:37 ---  -662 -5733  5482
18-08-08 14:48:37 ---  -660 -5704  5500
18-08-08 14:48:37 ---  -652 -5677  5520
18-08-08 14:48:37 ---  -633 -5642  5545
18-08-08 14:48:37 ---  -616 -5614  5573
18-08-08 14:48:37 ---  -593 -5591  5604
18-08-08 14:48:37 ---  -581 -5571  5626
18-08-08 14:48:37 ---  -564 -5559  5652
18-08-08 14:48:37 ---  -559 -5543  5673
18-08-08 14:48:37 ---  -551 -5526  5699
18-08-08 14:48:37 ---  -542 -5504  5728
18-08-08 14:48:37 ---  -533 -5482  5755
18-08-08 14:48:37 ---  -521 -5459  5784
18-08-08 14:48:37 ---  -509 -5435  5825
18-08-08 14:48:37 ---  -502 -5405  5860
18-08-08 14:48:37 ---  -497 -5376  5898
18-08-08 14:48:37 ---  -494 -5345  5928
18-08-08 14:48:38 ---  -502 -5313  5949
18-08-08 14:48:38 ---  -501 -5283  5971
18-08-08 14:48:38 ---  -508 -5256  6003
18-08-08 14:48:38 ---  -508 -5228  6046
18-08-08 14:48:38 ---  -507 -5202  6087
18-08-08 14:48:38 ---  -506 -5178  6136
18-08-08 14:48:38 ---  -507 -5148  6170
18-08-08 14:48:38 ---  -511 -5111  6208
18-08-08 14:48:38 ---  -511 -5068  6241
18-08-08 14:48:38 ---  -514 -5014  6278
18-08-08 14:48:38 ---  -507 -4958  6317
18-08-08 14:48:38 ---  -498 -4897  6360
18-08-08 14:48:38 ---  -493 -4842  6411
18-08-08 14:48:38 ---  -495 -4787  6461
18-08-08 14:48:38 ---  -496 -4734  6513
18-08-08 14:48:38 ---  -506 -4679  6562
18-08-08 14:48:38 ---  -515 -4625  6603
18-08-08 14:48:38 ---  -525 -4571  6645
18-08-08 14:48:38 ---  -539 -4525  6671
18-08-08 14:48:38 ---  -544 -4496  6684
18-08-08 14:48:38 ---  -547 -4469  6685
18-08-08 14:48:38 ---  -542 -4453  6678
18-08-08 14:48:38 ---  -538 -4433  6669
18-08-08 14:48:38 ---  -537 -4424  6672
18-08-08 14:48:38 ---  -531 -4416  6676
18-08-08 14:48:38 ---  -522 -4423  6683
18-08-08 14:48:38 ---  -509 -4424  6699
18-08-08 14:48:38 ---  -491 -4428  6701
18-08-08 14:48:38 ---  -480 -4438  6720
18-08-08 14:48:38 ---  -469 -4453  6728
18-08-08 14:48:38 ---  -450 -4483  6736
18-08-08 14:48:38 ---  -446 -4520  6731
18-08-08 14:48:38 ---  -424 -4567  6724
18-08-08 14:48:38 ---  -417 -4630  6700
18-08-08 14:48:38 ---  -407 -4696  6671
18-08-08 14:48:38 ---  -401 -4766  6645
18-08-08 14:48:38 ---  -403 -4827  6625
18-08-08 14:48:38 ---  -408 -4879  6602
18-08-08 14:48:38 ---  -408 -4930  6602
18-08-08 14:48:38 ---  -410 -4978  6597
18-08-08 14:48:38 ---  -395 -5029  6595
18-08-08 14:48:38 ---  -383 -5076  6604
18-08-08 14:48:38 ---  -369 -5127  6593
18-08-08 14:48:38 ---  -356 -5178  6588
18-08-08 14:48:38 ---  -356 -5228  6576
18-08-08 14:48:38 ---  -355 -5273  6561
18-08-08 14:48:38 ---  -371 -5302  6548
18-08-08 14:48:38 ---  -393 -5292  6543
18-08-08 14:48:38 ---  -386 -5231  6560
18-08-08 14:48:38 ---  -376 -5116  6589
18-08-08 14:48:38 ---  -336 -4975  6636
18-08-08 14:48:38 ---  -287 -4838  6677
18-08-08 14:48:38 ---  -266 -4750  6711
18-08-08 14:48:38 ---  -259 -4700  6738
18-08-08 14:48:38 ---  -280 -4689  6751
18-08-08 14:48:38 ---  -315 -4698  6760
18-08-08 14:48:38 ---  -351 -4712  6725
18-08-08 14:48:38 ---  -386 -4719  6707
18-08-08 14:48:38 ---  -411 -4713  6703
18-08-08 14:48:38 ---  -444 -4692  6711
18-08-08 14:48:38 ---  -476 -4657  6727
18-08-08 14:48:38 ---  -502 -4359  6730
18-08-08 14:48:38 ---  -532 -4528  6736
18-08-08 14:48:38 ---  -552 -4488  6720
18-08-08 14:48:38 ---  -567 -4460  6717
18-08-08 14:48:38 ---  -586 -4429  6717
18-08-08 14:48:38 ---  -594 -4396  6716
18-08-08 14:48:38 ---  -604 -4352  6719
18-08-08 14:48:38 ---  -600 -4299  6720
18-08-08 14:48:38 ---  -592 -4242  6718
18-08-08 14:48:38 ---  -582 -4190  6719
18-08-08 14:48:38 ---  -576 -4142  6733
18-08-08 14:48:38 ---  -566 -4095  6748
18-08-08 14:48:38 ---  -577 -4049  6774
18-08-08 14:48:38 ---  -577 -4008  6787
18-08-08 14:48:38 ---  -581 -3958  6795
18-08-08 14:48:38 ---  -586 -3925  6789
18-08-08 14:48:38 ---  -577 -3876  6780
18-08-08 14:48:38 ---  -581 -3822  6784
18-08-08 14:48:38 ---  -584 -3758  6805
18-08-08 14:48:38 ---  -592 -3687  6832
18-08-08 14:48:38 ---  -612 -3619  6871
18-08-08 14:48:38 ---  -632 -3551  6903
18-08-08 14:48:38 ---  -665 -3487  6933
18-08-08 14:48:38 ---  -695 -3421  6957
18-08-08 14:48:38 ---  -732 -3352  6980
18-08-08 14:48:38 ---  -767 -3288  7001
18-08-08 14:48:39 --- one package
18-08-08 14:48:39 --- -1172    35  8765
18-08-08 14:48:39 --- -1167    91  8788
18-08-08 14:48:39 --- -1157   149  8825
18-08-08 14:48:39 --- -1163   201  8867
18-08-08 14:48:39 --- -1155   230  8926
18-08-08 14:48:39 --- -1159   225  8980
18-08-08 14:48:39 --- -1148   167  9039
18-08-08 14:48:39 --- -1151    84  9083
18-08-08 14:48:39 --- -1141   -12  9128
18-08-08 14:48:39 --- -1141   -82  9170
18-08-08 14:48:39 --- -1126  -116  9228
18-08-08 14:48:39 --- -1100  -122  9288
18-08-08 14:48:39 --- -1068  -113  9374
18-08-08 14:48:39 --- -1025   -83  9460
18-08-08 14:48:39 ---  -982   -54  9544
18-08-08 14:48:39 ---  -933    -7  9627
18-08-08 14:48:39 ---  -886    43  9692
18-08-08 14:48:39 ---  -836    99  9766
18-08-08 14:48:39 ---  -785   169  9842
18-08-08 14:48:39 ---  -736   241  9927
18-08-08 14:48:39 ---  -681   312 10018
18-08-08 14:48:39 ---  -622   376 10106
18-08-08 14:48:39 ---  -570   429 10196
18-08-08 14:48:39 ---  -524   473 10283
18-08-08 14:48:39 ---  -478   510 10374
18-08-08 14:48:39 ---  -446   536 10459
18-08-08 14:48:39 ---  -409   553 10543
18-08-08 14:48:39 ---  -389   559 10607
18-08-08 14:48:39 ---  -384   559 10675
18-08-08 14:48:39 ---  -400   550 10719
18-08-08 14:48:39 ---  -436   539 10773
18-08-08 14:48:39 ---  -466   513 10819
18-08-08 14:48:39 ---  -480   479 10867
18-08-08 14:48:39 ---  -482   443 10914
18-08-08 14:48:39 ---  -456   403 10957
18-08-08 14:48:39 ---  -438   369 10993
18-08-08 14:48:39 ---  -427   329 11025
18-08-08 14:48:39 ---  -423   290 11058
18-08-08 14:48:39 ---  -434   248 11082
18-08-08 14:48:39 ---  -371   -12 11049
18-08-08 14:48:39 ---  -452   -81 12121
18-08-08 14:48:39 ---  -228  -344 11617
18-08-08 14:48:39 ---  -282  -307 11715
18-08-08 14:48:39 ---  -220  -329 11025
18-08-08 14:48:39 ---  -347  -198 10860
18-08-08 14:48:39 ---  -498  -158 11440
18-08-08 14:48:39 ---  -718   -56 11491
18-08-08 14:48:39 ---  -793     7 11427
18-08-08 14:48:39 ---  -838    79 11585
18-08-08 14:48:39 ---  -845    99 11618
18-08-08 14:48:39 ---  -823    90 11554
18-08-08 14:48:39 ---  -798    45 11654
18-08-08 14:48:39 ---  -782    23 11732
18-08-08 14:48:39 ---  -520    23 11640
18-08-08 14:48:39 ---  -758    14 11636
18-08-08 14:48:39 ---  -751    19 11769
18-08-08 14:48:39 ---  -716    22 11739
18-08-08 14:48:39 ---  -693    29 11701
18-08-08 14:48:39 ---  -685    27 11750
18-08-08 14:48:39 ---  -678    22 11741
18-08-08 14:48:39 ---  -681    13 11688
18-08-08 14:48:39 ---  -678   -18 11692
18-08-08 14:48:39 ---  -676   -61 11696
18-08-08 14:48:39 ---  -666  -117 11629
18-08-08 14:48:39 ---  -673  -182 11621
18-08-08 14:48:39 ---  -689  -239 11626
18-08-08 14:48:39 ---  -719  -289 11565
18-08-08 14:48:39 ---  -755  -331 11512
18-08-08 14:48:39 ---  -784  -363 11506
18-08-08 14:48:39 ---  -783  -394 11431
18-08-08 14:48:39 ---  -768  -413 11375
18-08-08 14:48:39 ---  -719  -435 11288
18-08-08 14:48:39 ---  -668  -462 11191
18-08-08 14:48:39 ---  -613  -494 11084
18-08-08 14:48:39 ---  -545  -546 11015
18-08-08 14:48:39 ---  -481  -611 10947
18-08-08 14:48:39 ---  -401  -698 10874
18-08-08 14:48:39 ---  -313  -791 10807
18-08-08 14:48:39 ---  -230  -893 10723
18-08-08 14:48:39 ---  -137  -986 10632
18-08-08 14:48:39 ---   -60 -1071 10538
18-08-08 14:48:39 ---     7 -1139 10412
18-08-08 14:48:39 ---    68 -1193 10292
18-08-08 14:48:39 ---   109 -1225 10160
18-08-08 14:48:39 ---   140 -1247 10041
18-08-08 14:48:39 ---   155 -1252  9910
18-08-08 14:48:39 ---   157 -1262  9785
18-08-08 14:48:39 ---   139 -1255  9643
18-08-08 14:48:39 ---   123 -1251  9510
18-08-08 14:48:39 ---    86 -1237  9376
18-08-08 14:48:39 ---    58 -1227  9240
18-08-08 14:48:39 ---    11 -1219  9105
18-08-08 14:48:39 ---   -44 -1216  8962
18-08-08 14:48:39 ---   -99 -1215  8815
18-08-08 14:48:39 ---  -155 -1212  8670
18-08-08 14:48:39 ---  -192 -1213  8525
18-08-08 14:48:39 ---  -217 -1218  8388
18-08-08 14:48:39 ---  -224 -1244  8253
18-08-08 14:48:39 ---  -216 -1290  8132
18-08-08 14:48:39 ---  -209 -1354  8024
18-08-08 14:48:39 ---  -197 -1422  7918
18-08-08 14:48:39 ---  -201 -1481  7826
18-08-08 14:48:39 ---  -218 -1511  7719
18-08-08 14:48:39 ---  -241 -1525  7625
18-08-08 14:48:39 ---  -273 -1524  7514
18-08-08 14:48:39 ---  -307 -1530  7410
18-08-08 14:48:39 ---  -339 -1550  7306
18-08-08 14:48:39 ---  -358 -1591  7212
18-08-08 14:48:39 ---  -365 -1647  7123
18-08-08 14:48:39 ---  -357 -1710  7038
18-08-08 14:48:39 ---  -342 -1779  6948
18-08-08 14:48:39 ---  -327 -1848  6867
18-08-08 14:48:39 ---  -311 -1936  6726
18-08-08 14:48:39 ---  -315 -2033  6673
18-08-08 14:48:39 ---  -303 -2146  6545
18-08-08 14:48:39 ---  -307 -2269  6525
18-08-08 14:48:39 ---  -296 -2388  6430
18-08-08 14:48:39 ---  -276 -2505  6389
18-08-08 14:48:39 ---  -256 -2610  6298
18-08-08 14:48:39 ---  -225 -2715  6234
18-08-08 14:48:40 ---  -188 -2812  6162
18-08-08 14:48:40 ---  -141 -2925  6090
18-08-08 14:48:40 ---   -89 -3042  6009
18-08-08 14:48:40 ---   -38 -3184  5914
18-08-08 14:48:40 ---     1 -3338  5836
18-08-08 14:48:40 ---    28 -3522  5738
18-08-08 14:48:40 ---    38 -3708  5649
18-08-08 14:48:40 ---    38 -3916  5550
18-08-08 14:48:40 ---    13 -4122  5444
18-08-08 14:48:40 ---   -19 -4321  5351
18-08-08 14:48:40 ---   -73 -4524  5262
18-08-08 14:48:40 ---  -122 -4711  5162
18-08-08 14:48:40 ---  -167 -4912  5052
18-08-08 14:48:40 ---  -197 -5107  4907
18-08-08 14:48:40 ---  -223 -5304  4754
18-08-08 14:48:40 ---  -243 -5489  4586
18-08-08 14:48:40 ---  -290 -5665  4446
18-08-08 14:48:40 ---  -348 -5825  4290
18-08-08 14:48:40 ---  -436 -5979  4105
18-08-08 14:48:40 ---  -544 -6115  3900
18-08-08 14:48:40 ---  -666 -6251  3396
18-08-08 14:48:40 ---  -799 -6378  3218
18-08-08 14:48:40 ---  -939 -6507  3319
18-08-08 14:48:40 --- -1087 -6635  3086
18-08-08 14:48:40 --- -1242 -6740  2963
18-08-08 14:48:40 --- -1404 -6844  2824
18-08-08 14:48:40 --- -1573 -6918  2710
18-08-08 14:48:40 --- -1744 -6985  2559
18-08-08 14:48:40 --- -1912 -7083  2476
18-08-08 14:48:40 --- -2062 -7112  2281
18-08-08 14:48:40 --- -2203 -7123  2207
18-08-08 14:48:40 --- -2330 -7112  2040
18-08-08 14:48:40 --- -2432 -7106  1952
18-08-08 14:48:40 --- -2797 -7097  1910
18-08-08 14:48:40 --- -2703 -7106  1895
18-08-08 14:48:40 --- -2769 -7116  1946
18-08-08 14:48:40 --- -2817 -7123  1991
18-08-08 14:48:40 --- -2854 -7111  1992
18-08-08 14:48:40 --- -2864 -7084  2078
18-08-08 14:48:40 --- -2862 -7042  2094
18-08-08 14:48:40 --- -2844 -6981  2125
18-08-08 14:48:40 --- -2826 -6915  2156
18-08-08 14:48:40 --- -2802 -6828  2153
18-08-08 14:48:40 --- -2783 -6741  2183
18-08-08 14:48:40 --- -2755 -6649  2247
18-08-08 14:48:40 --- -2712 -6562  2323
18-08-08 14:48:40 --- -2654 -6479  2399
18-08-08 14:48:40 --- -2586 -6398  2447
18-08-08 14:48:40 --- -2499 -6321  2496
18-08-08 14:48:40 --- -2402 -6249  2528
18-08-08 14:48:40 --- -2288 -6193  2553
18-08-08 14:48:40 --- -2168 -6141  2551
18-08-08 14:48:40 --- -2035 -6096  2582
18-08-08 14:48:40 --- -1909 -6058  2583
18-08-08 14:48:40 --- -1771 -6018  2598
18-08-08 14:48:40 --- -1641 -5988  2624
18-08-08 14:48:40 --- -1497 -5964  2643
18-08-08 14:48:40 --- -1352 -5945  2681
18-08-08 14:48:40 --- -1196 -5939  2730
18-08-08 14:48:40 --- -1034 -5935  2780
18-08-08 14:48:40 ---  -880 -5941  2828
18-08-08 14:48:40 ---  -728 -5944  2877
18-08-08 14:48:40 ---  -594 -5955  2925
18-08-08 14:48:40 ---  -448 -5965  2980
18-08-08 14:48:40 ---  -310 -5980  3021
18-08-08 14:48:40 ---  -164 -5996  3055
18-08-08 14:48:40 ---   -22 -6019  3085
18-08-08 14:48:40 ---   106 -6043  3111
18-08-08 14:48:40 ---   240 -6081  3134
18-08-08 14:48:40 ---   353 -6120  3156
18-08-08 14:48:40 ---   457 -6169  3167
18-08-08 14:48:40 ---   538 -6227  3177
18-08-08 14:48:40 ---   590 -6287  3190
18-08-08 14:48:40 ---   629 -6358  3208
18-08-08 14:48:40 ---   656 -6428  3230
18-08-08 14:48:40 ---   690 -6507  3252
18-08-08 14:48:40 ---   724 -6585  3278
18-08-08 14:48:40 ---   753 -6663  3288
18-08-08 14:48:40 ---   778 -6740  3300
18-08-08 14:48:40 ---   778 -6813  3286
18-08-08 14:48:40 ---   781 -6885  3272
18-08-08 14:48:40 ---   759 -6957  3244
18-08-08 14:48:40 ---   741 -7032  3227
18-08-08 14:48:40 ---   708 -7106  3214
18-08-08 14:48:40 ---   673 -7177  3205
18-08-08 14:48:40 ---   633 -7248  3203
18-08-08 14:48:40 ---   587 -7307  3205
18-08-08 14:48:40 ---   539 -7367  3207
18-08-08 14:48:40 ---   490 -7429  3208
18-08-08 14:48:40 ---   435 -7486  3209
18-08-08 14:48:40 ---   380 -7542  3207
18-08-08 14:48:40 ---   318 -7590  3197
18-08-08 14:48:40 ---   256 -7636  3181
18-08-08 14:48:40 ---   194 -7676  3141
18-08-08 14:48:40 ---   133 -7715  3077
18-08-08 14:48:40 ---    87 -7746  3009
18-08-08 14:48:40 ---    43 -7766  2933
18-08-08 14:48:40 ---     9 -7777  2873
18-08-08 14:48:40 ---   -23 -7773  2810
18-08-08 14:48:40 ---   -56 -7760  2745
18-08-08 14:48:40 ---   -90 -7738  2662
18-08-08 14:48:40 ---  -129 -7704  2576
18-08-08 14:48:40 ---  -159 -7666  2478
18-08-08 14:48:40 ---  -189 -7611  2383
18-08-08 14:48:40 ---  -214 -7547  2301
18-08-08 14:48:40 ---  -235 -7474  2217
18-08-08 14:48:40 ---  -252 -7396  2147
18-08-08 14:48:40 ---  -279 -7309  2077
18-08-08 14:48:40 ---  -301 -7226  2018
18-08-08 14:48:40 ---  -326 -7135  1955
18-08-08 14:48:40 ---  -358 -7053  1896
18-08-08 14:48:40 ---  -394 -6978  1829
18-08-08 14:48:40 ---  -437 -6918  1767
18-08-08 14:48:40 ---  -483 -6866  1705
18-08-08 14:48:40 ---  -536 -6822  1644
18-08-08 14:48:40 ---  -570 -6777  1584
18-08-08 14:48:40 ---  -612 -6728  1515
18-08-08 14:48:40 ---  -634 -6676  1446
18-08-08 14:48:40 ---  -655 -6622  1371
18-08-08 14:48:40 ---  -665 -6579  1039
18-08-08 14:48:40 ---  -668 -6541  1212
18-08-08 14:48:40 ---  -665 -6510  1040
18-08-08 14:48:40 ---  -658 -6478   957
18-08-08 14:48:40 ---  -650 -6439   878
18-08-08 14:48:40 ---  -643 -6396   805
18-08-08 14:48:40 ---  -628 -6353   736
18-08-08 14:48:40 ---  -608 -6317   673
18-08-08 14:48:40 ---  -583 -6279   618
18-08-08 14:48:40 ---  -555 -6276   568
18-08-08 14:48:40 ---  -535 -6278   521
18-08-08 14:48:40 ---  -265 -6291   460
18-08-08 14:48:40 ---  -508 -6309   412
18-08-08 14:48:40 ---  -479 -6332   355
18-08-08 14:48:40 ---  -462 -6356   320
18-08-08 14:48:40 ---  -448 -6383   286
18-08-08 14:48:40 ---  -434 -6422   264
18-08-08 14:48:41 --- one package
18-08-08 14:48:41 ---  -545 -3341  8376
18-08-08 14:48:41 ---  -501 -3321  8387
18-08-08 14:48:41 ---  -482 -3287  8365
18-08-08 14:48:41 ---  -472 -3243  8357
18-08-08 14:48:41 ---  -481 -3206  8378
18-08-08 14:48:41 ---  -492 -3165  8394
18-08-08 14:48:41 ---  -503 -3118  8415
18-08-08 14:48:41 ---  -515 -3060  8447
18-08-08 14:48:41 ---  -541 -2970  8477
18-08-08 14:48:41 ---  -556 -2820  8505
18-08-08 14:48:41 ---  -571 -2612  8539
18-08-08 14:48:41 ---  -570 -2366  8579
18-08-08 14:48:41 ---  -570 -2121  8607
18-08-08 14:48:41 ---  -581 -1926  8622
18-08-08 14:48:41 ---  -600 -1807  8630
18-08-08 14:48:41 ---  -627 -1753  8625
18-08-08 14:48:41 ---  -641 -1740  8620
